‾	ۇستىڭگى سىزىق
🙍🏻	1–2 تەرى ءتۇسى, ادام, باقىتسىز, جابىرقاۋ, رەنجۋ, قاباعىن ءتۇيۋ, قاباعىن ءتۇيۋ: 1–2 تەرى ءتۇسى, قاباعىن تۇيگەن ادام, قيمىل, كوڭىلسىز, كوڭىلى قالۋ, مۇڭدى, نارازى, وكپەلى
🙍🏼	3-تەرى ءتۇرى, ادام, باقىتسىز, جابىرقاۋ, رەنجۋ, قاباعىن ءتۇيۋ, قاباعىن ءتۇيۋ: 3-تەرى ءتۇرى, قاباعىن تۇيگەن ادام, قيمىل, كوڭىلسىز, كوڭىلى قالۋ, مۇڭدى, نارازى, وكپەلى
🙍🏽	4-تەرى ءتۇسى, ادام, باقىتسىز, جابىرقاۋ, رەنجۋ, قاباعىن ءتۇيۋ, قاباعىن ءتۇيۋ: 4-تەرى ءتۇسى, قاباعىن تۇيگەن ادام, قيمىل, كوڭىلسىز, كوڭىلى قالۋ, مۇڭدى, نارازى, وكپەلى
🙍🏾	5-تەرى ءتۇسى, ادام, باقىتسىز, جابىرقاۋ, رەنجۋ, قاباعىن ءتۇيۋ, قاباعىن ءتۇيۋ: 5-تەرى ءتۇسى, قاباعىن تۇيگەن ادام, قيمىل, كوڭىلسىز, كوڭىلى قالۋ, مۇڭدى, نارازى, وكپەلى
🙍🏿	6-تەرى ءتۇسى, ادام, باقىتسىز, جابىرقاۋ, رەنجۋ, قاباعىن ءتۇيۋ, قاباعىن ءتۇيۋ: 6-تەرى ءتۇسى, قاباعىن تۇيگەن ادام, قيمىل, كوڭىلسىز, كوڭىلى قالۋ, مۇڭدى, نارازى, وكپەلى
🙍‍♂	اشۋلى, اشۋلى ەر, ىزالى, ەر
🙍🏻‍♂	1–2 تەرى ءتۇسى, اشۋلى, اشۋلى ەر: 1–2 تەرى ءتۇسى, ىزالى, ەر
🙍🏼‍♂	3-تەرى ءتۇرى, اشۋلى, اشۋلى ەر: 3-تەرى ءتۇرى, ىزالى, ەر
🙍🏽‍♂	4-تەرى ءتۇسى, اشۋلى, اشۋلى ەر: 4-تەرى ءتۇسى, ىزالى, ەر
🙍🏾‍♂	5-تەرى ءتۇسى, اشۋلى, اشۋلى ەر: 5-تەرى ءتۇسى, ىزالى, ەر
🙍🏿‍♂	6-تەرى ءتۇسى, اشۋلى, اشۋلى ەر: 6-تەرى ءتۇسى, ىزالى, ەر
🙍‍♀	اشۋلى, اشۋلى ايەل, ايەل, ىزالى
🙍🏻‍♀	1–2 تەرى ءتۇسى, اشۋلى, اشۋلى ايەل: 1–2 تەرى ءتۇسى, ايەل, ىزالى
🙍🏼‍♀	3-تەرى ءتۇرى, اشۋلى, اشۋلى ايەل: 3-تەرى ءتۇرى, ايەل, ىزالى
🙍🏽‍♀	4-تەرى ءتۇسى, اشۋلى, اشۋلى ايەل: 4-تەرى ءتۇسى, ايەل, ىزالى
🙍🏾‍♀	5-تەرى ءتۇسى, اشۋلى, اشۋلى ايەل: 5-تەرى ءتۇسى, ايەل, ىزالى
🙍🏿‍♀	6-تەرى ءتۇسى, اشۋلى, اشۋلى ايەل: 6-تەرى ءتۇسى, ايەل, ىزالى
🙎	ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎🏻	1–2 تەرى ءتۇسى, ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, بەتى بۇرتيۋ: 1–2 تەرى ءتۇسى, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎🏼	3-تەرى ءتۇرى, ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, بەتى بۇرتيۋ: 3-تەرى ءتۇرى, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎🏽	4-تەرى ءتۇسى, ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, بەتى بۇرتيۋ: 4-تەرى ءتۇسى, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎🏾	5-تەرى ءتۇسى, ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, بەتى بۇرتيۋ: 5-تەرى ءتۇسى, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎🏿	6-تەرى ءتۇسى, ادام, اشۋلانۋ, بۇرتيۋ, بۇلتيۋ, بەتى ءبۇرتيۋ, بەتى بۇرتيۋ, بەتى بۇرتيۋ: 6-تەرى ءتۇسى, قاباعىن ءتۇيۋ, قيمىل, كوڭىلسىز, كوڭىلى قالۋ
🙎‍♂	رەنجىگەن, رەنجۋلى, رەنجۋلى ەر, ەر
🙎🏻‍♂	1–2 تەرى ءتۇسى, رەنجىگەن, رەنجۋلى, رەنجۋلى ەر: 1–2 تەرى ءتۇسى, ەر
🙎🏼‍♂	3-تەرى ءتۇرى, رەنجىگەن, رەنجۋلى, رەنجۋلى ەر: 3-تەرى ءتۇرى, ەر
🙎🏽‍♂	4-تەرى ءتۇسى, رەنجىگەن, رەنجۋلى, رەنجۋلى ەر: 4-تەرى ءتۇسى, ەر
🙎🏾‍♂	5-تەرى ءتۇسى, رەنجىگەن, رەنجۋلى, رەنجۋلى ەر: 5-تەرى ءتۇسى, ەر
🙎🏿‍♂	6-تەرى ءتۇسى, رەنجىگەن, رەنجۋلى, رەنجۋلى ەر: 6-تەرى ءتۇسى, ەر
🙎‍♀	ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل
🙎🏻‍♀	1–2 تەرى ءتۇسى, ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل: 1–2 تەرى ءتۇسى
🙎🏼‍♀	3-تەرى ءتۇرى, ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل: 3-تەرى ءتۇرى
🙎🏽‍♀	4-تەرى ءتۇسى, ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل: 4-تەرى ءتۇسى
🙎🏾‍♀	5-تەرى ءتۇسى, ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل: 5-تەرى ءتۇسى
🙎🏿‍♀	6-تەرى ءتۇسى, ايەل, رەنجىگەن, رەنجۋلى, رەنجۋلى ايەل: 6-تەرى ءتۇسى
🙅	ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅🏻	1–2 تەرى ءتۇسى, ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, جوق: 1–2 تەرى ءتۇسى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅🏼	3-تەرى ءتۇرى, ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, جوق: 3-تەرى ءتۇرى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅🏽	4-تەرى ءتۇسى, ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, جوق: 4-تەرى ءتۇسى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅🏾	5-تەرى ءتۇسى, ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, جوق: 5-تەرى ءتۇسى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅🏿	6-تەرى ءتۇسى, ادام, تىيىم سالىنعان, جوق, جوق دەپ كورسەتىپ جاتقان ادام, جوق دەگەن ادام قيمىلى, جوق: 6-تەرى ءتۇسى, رۇقسات بەرمەۋ, رۇقسات جوق, شىعارۋ, قول, قولدى ايقاستىرۋ, قيمىل
🙅‍♂	بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قول, ەر
🙅🏻‍♂	1–2 تەرى ءتۇسى, بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قارسىمىن دەپ تۇرعان ەر: 1–2 تەرى ءتۇسى, قول, ەر
🙅🏼‍♂	3-تەرى ءتۇرى, بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قارسىمىن دەپ تۇرعان ەر: 3-تەرى ءتۇرى, قول, ەر
🙅🏽‍♂	4-تەرى ءتۇسى, بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قارسىمىن دەپ تۇرعان ەر: 4-تەرى ءتۇسى, قول, ەر
🙅🏾‍♂	5-تەرى ءتۇسى, بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قارسىمىن دەپ تۇرعان ەر: 5-تەرى ءتۇسى, قول, ەر
🙅🏿‍♂	6-تەرى ءتۇسى, بولمايدى, جوق, قارسى, قارسىمىن دەپ تۇرعان ەر, قارسىمىن دەپ تۇرعان ەر: 6-تەرى ءتۇسى, قول, ەر
🙅‍♀	ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل
🙅🏻‍♀	1–2 تەرى ءتۇسى, ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل, قارسىمىن دەپ تۇرعان ايەل: 1–2 تەرى ءتۇسى
🙅🏼‍♀	3-تەرى ءتۇرى, ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل, قارسىمىن دەپ تۇرعان ايەل: 3-تەرى ءتۇرى
🙅🏽‍♀	4-تەرى ءتۇسى, ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل, قارسىمىن دەپ تۇرعان ايەل: 4-تەرى ءتۇسى
🙅🏾‍♀	5-تەرى ءتۇسى, ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل, قارسىمىن دەپ تۇرعان ايەل: 5-تەرى ءتۇسى
🙅🏿‍♀	6-تەرى ءتۇسى, ايەل, بولمايدى, قارسى, قارسىمىن دەپ تۇرعان ايەل, قارسىمىن دەپ تۇرعان ايەل: 6-تەرى ءتۇسى
🙆	ادام, جاتتىعۋ, جارايدى, قول, قيمىل, ماقۇل, وك, وكەي
🙆🏻	1–2 تەرى ءتۇسى, ادام, جاتتىعۋ, جارايدى, جارايدى: 1–2 تەرى ءتۇسى, قول, قيمىل, ماقۇل, وك, وكەي
🙆🏼	3-تەرى ءتۇرى, ادام, جاتتىعۋ, جارايدى, جارايدى: 3-تەرى ءتۇرى, قول, قيمىل, ماقۇل, وك, وكەي
🙆🏽	4-تەرى ءتۇسى, ادام, جاتتىعۋ, جارايدى, جارايدى: 4-تەرى ءتۇسى, قول, قيمىل, ماقۇل, وك, وكەي
🙆🏾	5-تەرى ءتۇسى, ادام, جاتتىعۋ, جارايدى, جارايدى: 5-تەرى ءتۇسى, قول, قيمىل, ماقۇل, وك, وكەي
🙆🏿	6-تەرى ءتۇسى, ادام, جاتتىعۋ, جارايدى, جارايدى: 6-تەرى ءتۇسى, قول, قيمىل, ماقۇل, وك, وكەي
🙆‍♂	جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاۋ, ەر
🙆🏻‍♂	1–2 تەرى ءتۇسى, جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاپ تۇرعان ەر: 1–2 تەرى ءتۇسى, قۇپتاۋ, ەر
🙆🏼‍♂	3-تەرى ءتۇرى, جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاپ تۇرعان ەر: 3-تەرى ءتۇرى, قۇپتاۋ, ەر
🙆🏽‍♂	4-تەرى ءتۇسى, جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاپ تۇرعان ەر: 4-تەرى ءتۇسى, قۇپتاۋ, ەر
🙆🏾‍♂	5-تەرى ءتۇسى, جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاپ تۇرعان ەر: 5-تەرى ءتۇسى, قۇپتاۋ, ەر
🙆🏿‍♂	6-تەرى ءتۇسى, جاقتاۋ, قول, قۇپتاپ تۇرعان ەر, قۇپتاپ تۇرعان ەر: 6-تەرى ءتۇسى, قۇپتاۋ, ەر
🙆‍♀	ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاۋ
🙆🏻‍♀	1–2 تەرى ءتۇسى, ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاپ تۇرعان ايەل: 1–2 تەرى ءتۇسى, قۇپتاۋ
🙆🏼‍♀	3-تەرى ءتۇرى, ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاپ تۇرعان ايەل: 3-تەرى ءتۇرى, قۇپتاۋ
🙆🏽‍♀	4-تەرى ءتۇسى, ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاپ تۇرعان ايەل: 4-تەرى ءتۇسى, قۇپتاۋ
🙆🏾‍♀	5-تەرى ءتۇسى, ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاپ تۇرعان ايەل: 5-تەرى ءتۇسى, قۇپتاۋ
🙆🏿‍♀	6-تەرى ءتۇسى, ايەل, جاقتاۋ, قۇپتاپ تۇرعان ايەل, قۇپتاپ تۇرعان ايەل: 6-تەرى ءتۇسى, قۇپتاۋ
💁	اقپارات, اقپارات ورتالىعى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁🏻	1–2 تەرى ءتۇسى, اقپارات, اقپارات ورتالىعى, اقپارات ورتالىعى: 1–2 تەرى ءتۇسى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁🏼	3-تەرى ءتۇرى, اقپارات, اقپارات ورتالىعى, اقپارات ورتالىعى: 3-تەرى ءتۇرى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁🏽	4-تەرى ءتۇسى, اقپارات, اقپارات ورتالىعى, اقپارات ورتالىعى: 4-تەرى ءتۇسى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁🏾	5-تەرى ءتۇسى, اقپارات, اقپارات ورتالىعى, اقپارات ورتالىعى: 5-تەرى ءتۇسى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁🏿	6-تەرى ءتۇسى, اقپارات, اقپارات ورتالىعى, اقپارات ورتالىعى: 6-تەرى ءتۇسى, جاردەم, دورەكى, ساركازم, شاشتى قايىرۋ, قول, كومەك, كەڭەس, وسەك
💁‍♂	قول سوزۋ, قولىن سوزىپ تۇرعان ەر, ەر
💁🏻‍♂	1–2 تەرى ءتۇسى, قول سوزۋ, قولىن سوزىپ تۇرعان ەر, قولىن سوزىپ تۇرعان ەر: 1–2 تەرى ءتۇسى, ەر
💁🏼‍♂	3-تەرى ءتۇرى, قول سوزۋ, قولىن سوزىپ تۇرعان ەر, قولىن سوزىپ تۇرعان ەر: 3-تەرى ءتۇرى, ەر
💁🏽‍♂	4-تەرى ءتۇسى, قول سوزۋ, قولىن سوزىپ تۇرعان ەر, قولىن سوزىپ تۇرعان ەر: 4-تەرى ءتۇسى, ەر
💁🏾‍♂	5-تەرى ءتۇسى, قول سوزۋ, قولىن سوزىپ تۇرعان ەر, قولىن سوزىپ تۇرعان ەر: 5-تەرى ءتۇسى, ەر
💁🏿‍♂	6-تەرى ءتۇسى, قول سوزۋ, قولىن سوزىپ تۇرعان ەر, قولىن سوزىپ تۇرعان ەر: 6-تەرى ءتۇسى, ەر
💁‍♀	ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل
💁🏻‍♀	1–2 تەرى ءتۇسى, ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل, قولىن سوزىپ تۇرعان ايەل: 1–2 تەرى ءتۇسى
💁🏼‍♀	3-تەرى ءتۇرى, ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل, قولىن سوزىپ تۇرعان ايەل: 3-تەرى ءتۇرى
💁🏽‍♀	4-تەرى ءتۇسى, ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل, قولىن سوزىپ تۇرعان ايەل: 4-تەرى ءتۇسى
💁🏾‍♀	5-تەرى ءتۇسى, ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل, قولىن سوزىپ تۇرعان ايەل: 5-تەرى ءتۇسى
💁🏿‍♀	6-تەرى ءتۇسى, ايەل, قول سوزۋ, قولىن سوزىپ تۇرعان ايەل, قولىن سوزىپ تۇرعان ايەل: 6-تەرى ءتۇسى
🙋	سۇراق, قول, قولدى كوتەرۋ, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋🏻	1–2 تەرى ءتۇسى, سۇراق, قول, قولدى كوتەرۋ, قولدى كوتەرۋ: 1–2 تەرى ءتۇسى, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋🏼	3-تەرى ءتۇرى, سۇراق, قول, قولدى كوتەرۋ, قولدى كوتەرۋ: 3-تەرى ءتۇرى, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋🏽	4-تەرى ءتۇسى, سۇراق, قول, قولدى كوتەرۋ, قولدى كوتەرۋ: 4-تەرى ءتۇسى, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋🏾	5-تەرى ءتۇسى, سۇراق, قول, قولدى كوتەرۋ, قولدى كوتەرۋ: 5-تەرى ءتۇسى, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋🏿	6-تەرى ءتۇسى, سۇراق, قول, قولدى كوتەرۋ, قولدى كوتەرۋ: 6-تەرى ءتۇسى, قولىن كوتەرىپ تۇرعان ادام, قيمىل, قۋانىشتى, كوتەرىلگەن, مەن, مەن ايتايىنشى, مەن بىلەمىن
🙋‍♂	قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قيمىل, ەر
🙋🏻‍♂	1–2 تەرى ءتۇسى, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قولىن كوتەرىپ تۇرعان ەر: 1–2 تەرى ءتۇسى, قيمىل, ەر
🙋🏼‍♂	3-تەرى ءتۇرى, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قولىن كوتەرىپ تۇرعان ەر: 3-تەرى ءتۇرى, قيمىل, ەر
🙋🏽‍♂	4-تەرى ءتۇسى, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قولىن كوتەرىپ تۇرعان ەر: 4-تەرى ءتۇسى, قيمىل, ەر
🙋🏾‍♂	5-تەرى ءتۇسى, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قولىن كوتەرىپ تۇرعان ەر: 5-تەرى ءتۇسى, قيمىل, ەر
🙋🏿‍♂	6-تەرى ءتۇسى, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ەر, قولىن كوتەرىپ تۇرعان ەر: 6-تەرى ءتۇسى, قيمىل, ەر
🙋‍♀	ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قيمىل
🙋🏻‍♀	1–2 تەرى ءتۇسى, ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قولىن كوتەرىپ تۇرعان ايەل: 1–2 تەرى ءتۇسى, قيمىل
🙋🏼‍♀	3-تەرى ءتۇرى, ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قولىن كوتەرىپ تۇرعان ايەل: 3-تەرى ءتۇرى, قيمىل
🙋🏽‍♀	4-تەرى ءتۇسى, ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قولىن كوتەرىپ تۇرعان ايەل: 4-تەرى ءتۇسى, قيمىل
🙋🏾‍♀	5-تەرى ءتۇسى, ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قولىن كوتەرىپ تۇرعان ايەل: 5-تەرى ءتۇسى, قيمىل
🙋🏿‍♀	6-تەرى ءتۇسى, ايەل, قول كوتەرۋ, قولىن كوتەرىپ تۇرعان ايەل, قولىن كوتەرىپ تۇرعان ايەل: 6-تەرى ءتۇسى, قيمىل
🧏	ساڭىراۋ, ساڭىراۋ ادام, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏🏻	1–2 تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ادام, ساڭىراۋ ادام: 1–2 تەرى ءتۇسى, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏🏼	3-تەرى ءتۇرى, ساڭىراۋ, ساڭىراۋ ادام, ساڭىراۋ ادام: 3-تەرى ءتۇرى, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏🏽	4-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ادام, ساڭىراۋ ادام: 4-تەرى ءتۇسى, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏🏾	5-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ادام, ساڭىراۋ ادام: 5-تەرى ءتۇسى, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏🏿	6-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ادام, ساڭىراۋ ادام: 6-تەرى ءتۇسى, قۇلاق, مۇمكىندىگى شەكتەۋلى, ەستۋ
🧏‍♂	ساڭىراۋ, ساڭىراۋ ەركەك, ەركەك
🧏🏻‍♂	1–2 تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ەركەك: 1–2 تەرى ءتۇسى, ەركەك
🧏🏼‍♂	3-تەرى ءتۇرى, ساڭىراۋ, ساڭىراۋ ەركەك: 3-تەرى ءتۇرى, ەركەك
🧏🏽‍♂	4-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ەركەك: 4-تەرى ءتۇسى, ەركەك
🧏🏾‍♂	5-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ەركەك: 5-تەرى ءتۇسى, ەركەك
🧏🏿‍♂	6-تەرى ءتۇسى, ساڭىراۋ, ساڭىراۋ ەركەك: 6-تەرى ءتۇسى, ەركەك
🧏‍♀	ايەل, ساڭىراۋ, ساڭىراۋ ايەل
🧏🏻‍♀	1–2 تەرى ءتۇسى, ايەل, ساڭىراۋ, ساڭىراۋ ايەل: 1–2 تەرى ءتۇسى
🧏🏼‍♀	3-تەرى ءتۇرى, ايەل, ساڭىراۋ, ساڭىراۋ ايەل: 3-تەرى ءتۇرى
🧏🏽‍♀	4-تەرى ءتۇسى, ايەل, ساڭىراۋ, ساڭىراۋ ايەل: 4-تەرى ءتۇسى
🧏🏾‍♀	5-تەرى ءتۇسى, ايەل, ساڭىراۋ, ساڭىراۋ ايەل: 5-تەرى ءتۇسى
🧏🏿‍♀	6-تەرى ءتۇسى, ايەل, ساڭىراۋ, ساڭىراۋ ايەل: 6-تەرى ءتۇسى
🙇	ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام
🙇🏻	1–2 تەرى ءتۇسى, ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام, يىلگەن ادام: 1–2 تەرى ءتۇسى
🙇🏼	3-تەرى ءتۇرى, ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام, يىلگەن ادام: 3-تەرى ءتۇرى
🙇🏽	4-تەرى ءتۇسى, ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام, يىلگەن ادام: 4-تەرى ءتۇسى
🙇🏾	5-تەرى ءتۇسى, ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام, يىلگەن ادام: 5-تەرى ءتۇسى
🙇🏿	6-تەرى ءتۇسى, ءوتىنۋ, ءيىلۋ, ادام, باس يۋ, باعىنىپ تۇرعان ادام, باعىنۋ, جالبارىنۋ, جالىنۋ, قيمىل, كەشىرىم, كەشىرىم سۇراۋ, كەشىرۋ, مەديتاتسيا, وكىنۋ, يىلگەن ادام, يىلگەن ادام: 6-تەرى ءتۇسى
🙇‍♂	ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, كەشىرىم سۇراۋ, ەر
🙇🏻‍♂	1–2 تەرى ءتۇسى, ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, باسىن ءيىپ تۇرعان ەر: 1–2 تەرى ءتۇسى, كەشىرىم سۇراۋ, ەر
🙇🏼‍♂	3-تەرى ءتۇرى, ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, باسىن ءيىپ تۇرعان ەر: 3-تەرى ءتۇرى, كەشىرىم سۇراۋ, ەر
🙇🏽‍♂	4-تەرى ءتۇسى, ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, باسىن ءيىپ تۇرعان ەر: 4-تەرى ءتۇسى, كەشىرىم سۇراۋ, ەر
🙇🏾‍♂	5-تەرى ءتۇسى, ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, باسىن ءيىپ تۇرعان ەر: 5-تەرى ءتۇسى, كەشىرىم سۇراۋ, ەر
🙇🏿‍♂	6-تەرى ءتۇسى, ءوتىنۋ, باس يۋ, باسىن ءيىپ تۇرعان ەر, باسىن ءيىپ تۇرعان ەر: 6-تەرى ءتۇسى, كەشىرىم سۇراۋ, ەر
🙇‍♀	ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
