‾	forlíne
🧓🏼	neodrach ó thaobh inscne de, sean, seanduine, seanduine: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧓🏽	neodrach ó thaobh inscne de, sean, seanduine, seanduine: ton cnis meánach, ton cnis meánach
🧓🏾	neodrach ó thaobh inscne de, sean, seanduine, seanduine: ton cnis meándorcha, ton cnis meándorcha
🧓🏿	neodrach ó thaobh inscne de, sean, seanduine, seanduine: ton cnis dorcha, ton cnis dorcha
👴	fear, maol, scothaosta, sean, seanathair, seanfhear
👴🏻	fear, maol, scothaosta, sean, seanathair, seanfhear, seanfhear: ton cnis geal, ton cnis geal
👴🏼	fear, maol, scothaosta, sean, seanathair, seanfhear, seanfhear: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👴🏽	fear, maol, scothaosta, sean, seanathair, seanfhear, seanfhear: ton cnis meánach, ton cnis meánach
👴🏾	fear, maol, scothaosta, sean, seanathair, seanfhear, seanfhear: ton cnis meándorcha, ton cnis meándorcha
👴🏿	fear, maol, scothaosta, sean, seanathair, seanfhear, seanfhear: ton cnis dorcha, ton cnis dorcha
👵	bean, fionn, sean, seanbhean, seanmháthair
👵🏻	bean, fionn, sean, seanbhean, seanbhean: ton cnis geal, seanmháthair, ton cnis geal
👵🏼	bean, fionn, sean, seanbhean, seanbhean: ton cnis mheánach-gheal, seanmháthair, ton cnis mheánach-gheal
👵🏽	bean, fionn, sean, seanbhean, seanbhean: ton cnis meánach, seanmháthair, ton cnis meánach
👵🏾	bean, fionn, sean, seanbhean, seanbhean: ton cnis meándorcha, seanmháthair, ton cnis meándorcha
👵🏿	bean, fionn, sean, seanbhean, seanbhean: ton cnis dorcha, seanmháthair, ton cnis dorcha
🙍	buartha, corraithe, duine, duine le púic air, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite
🙍🏻	buartha, corraithe, duine, duine le púic air, duine le púic air: ton cnis geal, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite, ton cnis geal
🙍🏼	buartha, corraithe, duine, duine le púic air, duine le púic air: ton cnis mheánach-gheal, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite, ton cnis mheánach-gheal
🙍🏽	buartha, corraithe, duine, duine le púic air, duine le púic air: ton cnis meánach, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite, ton cnis meánach
🙍🏾	buartha, corraithe, duine, duine le púic air, duine le púic air: ton cnis meándorcha, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite, ton cnis meándorcha
🙍🏿	buartha, corraithe, duine, duine le púic air, duine le púic air: ton cnis dorcha, díomách, gotha, gruama, meallta, míshásta, níl sí sona, suaite, ton cnis dorcha
🙍‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, trí chéile
🙍🏻‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis geal, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, ton cnis geal, trí chéile
🙍🏼‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis mheánach-gheal, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, ton cnis mheánach-gheal, trí chéile
🙍🏽‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis meánach, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, ton cnis meánach, trí chéile
🙍🏾‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis meándorcha, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, ton cnis meándorcha, trí chéile
🙍🏿‍♂	ag cur grainc, conán, cor, dúrúnta, fear, fear ag cur grainc, fear le púic air, fear le púic air: ton cnis dorcha, fearann, gotha, grainceach, gruama, grugach, mosach, míshásta, púrtaí, suaite, ton cnis dorcha, trí chéile
🙍‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, cor
🙍🏻‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis geal, cor, ton cnis geal
🙍🏼‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis mheánach-gheal, cor, ton cnis mheánach-gheal
🙍🏽‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis meánach, cor, ton cnis meánach
🙍🏾‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis meándorcha, cor, ton cnis meándorcha
🙍🏿‍♀	ag cur grainc, baineann, bean, bean ag cur grainc, bean le púic uirthi, bean le púic uirthi: ton cnis dorcha, cor, ton cnis dorcha
🙎	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite
🙎🏻	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis geal, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite, ton cnis geal
🙎🏼	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis mheánach-gheal, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite, ton cnis mheánach-gheal
🙎🏽	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis meánach, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite, ton cnis meánach
🙎🏾	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis meándorcha, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite, ton cnis meándorcha
🙎🏿	cnáimhseáil, duine, duine le phus orthu, duine le puisín air, duine le puisín air: ton cnis dorcha, duine pusach, díomách, gotha, grainc a chur ort, meallta, pus, roic a bheith i do mhalaí, smut, suaite, ton cnis dorcha
🙎‍♂	cor, fear, fear le puisín air, fear le pus, fearann, gotha, pus
🙎🏻‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis geal, fear le pus, fearann, gotha, pus, ton cnis geal
🙎🏼‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis mheánach-gheal, fear le pus, fearann, gotha, pus, ton cnis mheánach-gheal
🙎🏽‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis meánach, fear le pus, fearann, gotha, pus, ton cnis meánach
🙎🏾‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis meándorcha, fear le pus, fearann, gotha, pus, ton cnis meándorcha
🙎🏿‍♂	cor, fear, fear le puisín air, fear le puisín air: ton cnis dorcha, fear le pus, fearann, gotha, pus, ton cnis dorcha
🙎‍♀	baineann, bean, bean le puisín uirthi, bean le pus, cor, pus
🙎🏻‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis geal, bean le pus, cor, pus, ton cnis geal
🙎🏼‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis mheánach-gheal, bean le pus, cor, pus, ton cnis mheánach-gheal
🙎🏽‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis meánach, bean le pus, cor, pus, ton cnis meánach
🙎🏾‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis meándorcha, bean le pus, cor, pus, ton cnis meándorcha
🙎🏿‍♀	baineann, bean, bean le puisín uirthi, bean le puisín uirthi: ton cnis dorcha, bean le pus, cor, pus, ton cnis dorcha
🙅	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith
🙅🏻	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis geal, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith, ton cnis geal
🙅🏼	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis mheánach-gheal, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith, ton cnis mheánach-gheal
🙅🏽	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis meánach, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith, ton cnis meánach
🙅🏾	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis meándorcha, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith, ton cnis meándorcha
🙅🏿	bac, coiscthe, cosc, dhá lámh trasna ar a chéile aici, duine ag comharthú NÍL, duine ag comharthú NÍL: ton cnis dorcha, duine ag tabhairt le fios gan é a dhéanamh, lámh, lámh thar an lámh eile aici, níl cead, níl sé ceadaithe, seans ar bith, ton cnis dorcha
🙅‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe
🙅🏻‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis geal, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe, ton cnis geal
🙅🏼‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis mheánach-gheal, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe, ton cnis mheánach-gheal
🙅🏽‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis meánach, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe, ton cnis meánach
🙅🏾‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis meándorcha, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe, ton cnis meándorcha
🙅🏿‍♂	chan, chan bhfuil, coiscthe, comhartha, cosc, fear, fear ag comharthú NÍL, fear ag comharthú NÍL: ton cnis dorcha, fear ag rá níl, gotha, lámh, ní hea, níl, toirmiscthe, ton cnis dorcha
🙅‍♀	bean, bean ag comharthú NÍL, bean ag rá níl, coiscthe, comhartha, cosc, lámh
🙅🏻‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis geal, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis geal
🙅🏼‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis mheánach-gheal, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis mheánach-gheal
🙅🏽‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis meánach, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis meánach
🙅🏾‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis meándorcha, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis meándorcha
🙅🏿‍♀	bean, bean ag comharthú NÍL, bean ag comharthú NÍL: ton cnis dorcha, bean ag rá níl, coiscthe, comhartha, cosc, lámh, ton cnis dorcha
🙆	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine à dhéanamh OK, gach rud i gceart, gotha, lámh
🙆🏻	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine ag comharthú OK: ton cnis geal, duine à dhéanamh OK, gach rud i gceart, gotha, lámh, ton cnis geal
🙆🏼	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine ag comharthú OK: ton cnis mheánach-gheal, duine à dhéanamh OK, gach rud i gceart, gotha, lámh, ton cnis mheánach-gheal
🙆🏽	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine ag comharthú OK: ton cnis meánach, duine à dhéanamh OK, gach rud i gceart, gotha, lámh, ton cnis meánach
🙆🏾	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine ag comharthú OK: ton cnis meándorcha, duine à dhéanamh OK, gach rud i gceart, gotha, lámh, ton cnis meándorcha
🙆🏿	CGL, OK, ceart go leor, cleachtadh, comharthaíocht lámh, duine ag comharthú OK, duine ag comharthú OK: ton cnis dorcha, duine à dhéanamh OK, gach rud i gceart, gotha, lámh, ton cnis dorcha
🙆‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fearann, gotha, lámh
🙆🏻‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis geal, fearann, gotha, lámh, ton cnis geal
🙆🏼‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis mheánach-gheal, fearann, gotha, lámh, ton cnis mheánach-gheal
🙆🏽‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis meánach, fearann, gotha, lámh, ton cnis meánach
🙆🏾‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis meándorcha, fearann, gotha, lámh, ton cnis meándorcha
🙆🏿‍♂	OK, a Dhia, aclaíocht, ceart go leor, cor, fear, fear a aontaíonn, fear ag comharthú OK, fear ag comharthú OK: ton cnis dorcha, fearann, gotha, lámh, ton cnis dorcha
🙆‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, ceart go leor, cor, lámh
🙆🏻‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis geal, ceart go leor, cor, lámh, ton cnis geal
🙆🏼‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis mheánach-gheal, ceart go leor, cor, lámh, ton cnis mheánach-gheal
🙆🏽‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis meánach, ceart go leor, cor, lámh, ton cnis meánach
🙆🏾‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis meándorcha, ceart go leor, cor, lámh, ton cnis meándorcha
🙆🏿‍♀	baineann, bean, bean a aontaíonn, bean ag comharthú OK, bean ag comharthú OK: ton cnis dorcha, ceart go leor, cor, lámh, ton cnis dorcha
💁	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach
💁🏻	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis geal, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach, ton cnis geal
💁🏼	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis mheánach-gheal, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach, ton cnis mheánach-gheal
💁🏽	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis meánach, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach, ton cnis meánach
💁🏾	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis meándorcha, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach, ton cnis meándorcha
💁🏿	brú siar gruaige, cabhair, cibé rud, cúlchaint, deasc faisnéise, duine lena lámh amach, duine lena lámh amach: ton cnis dorcha, eolas, faisnéis, i ndáiríre, lámh á hiompú, muiníneach, tarcaisneach, ton cnis dorcha
💁‍♂	fear, fear le lámh amach, fear lena lámh amach, fearann, lámh amach, searbhasach, sotalach
💁🏻‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis geal, fearann, lámh amach, searbhasach, sotalach, ton cnis geal
💁🏼‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis mheánach-gheal, fearann, lámh amach, searbhasach, sotalach, ton cnis mheánach-gheal
💁🏽‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis meánach, fearann, lámh amach, searbhasach, sotalach, ton cnis meánach
💁🏾‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis meándorcha, fearann, lámh amach, searbhasach, sotalach, ton cnis meándorcha
💁🏿‍♂	fear, fear le lámh amach, fear lena lámh amach, fear lena lámh amach: ton cnis dorcha, fearann, lámh amach, searbhasach, sotalach, ton cnis dorcha
💁‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, lámh amach, sotalach
💁🏻‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis geal, lámh amach, sotalach, ton cnis geal
💁🏼‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis mheánach-gheal, lámh amach, sotalach, ton cnis mheánach-gheal
💁🏽‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis meánach, lámh amach, sotalach, ton cnis meánach
💁🏾‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis meándorcha, lámh amach, sotalach, ton cnis meándorcha
💁🏿‍♀	baineann, bean, bean le lámh amach, bean lena lámh amach, bean lena lámh amach: ton cnis dorcha, lámh amach, sotalach, ton cnis dorcha
🙋	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, tá a fhios agam
🙋🏻	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis geal, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, ton cnis geal, tá a fhios agam
🙋🏼	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis mheánach-gheal, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, ton cnis mheánach-gheal, tá a fhios agam
🙋🏽	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis meánach, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, ton cnis meánach, tá a fhios agam
🙋🏾	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis meándorcha, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, ton cnis meándorcha, tá a fhios agam
🙋🏿	anseo, ceist, cuideoidh mise leat, duine, duine ag ardú láimhe, duine lena lámh suas, duine lena lámh suas: ton cnis dorcha, gotha, lámh in airde, lámh á hardú, roghnaigh mise, sona, ton cnis dorcha, tá a fhios agam
🙋‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fearann, gotha, lámh, lámha, lámha suas, tá a fhios agam
🙋🏻‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis geal, fearann, gotha, lámh, lámha, lámha suas, ton cnis geal, tá a fhios agam
🙋🏼‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis mheánach-gheal, fearann, gotha, lámh, lámha, lámha suas, ton cnis mheánach-gheal, tá a fhios agam
🙋🏽‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis meánach, fearann, gotha, lámh, lámha, lámha suas, ton cnis meánach, tá a fhios agam
🙋🏾‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis meándorcha, fearann, gotha, lámh, lámha, lámha suas, ton cnis meándorcha, tá a fhios agam
🙋🏿‍♂	ceist, cor, fear, fear le lámha suas, fear lena lámh suas, fear lena lámh suas: ton cnis dorcha, fearann, gotha, lámh, lámha, lámha suas, ton cnis dorcha, tá a fhios agam
🙋‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, cor, lámha suas
🙋🏻‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis geal, cor, lámha suas, ton cnis geal
🙋🏼‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis mheánach-gheal, cor, lámha suas, ton cnis mheánach-gheal
🙋🏽‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis meánach, cor, lámha suas, ton cnis meánach
🙋🏾‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis meándorcha, cor, lámha suas, ton cnis meándorcha
🙋🏿‍♀	baineann, bean, bean le lámha suas, bean lena lámh suas, bean lena lámh suas: ton cnis dorcha, cor, lámha suas, ton cnis dorcha
🧏	bodhar, cluas, duine bodhar, duine dall, inrochtaineacht, éist
🧏🏻	bodhar, cluas, duine bodhar, duine bodhar: ton cnis geal, duine dall, inrochtaineacht, ton cnis geal, éist
🧏🏼	bodhar, cluas, duine bodhar, duine bodhar: ton cnis mheánach-gheal, duine dall, inrochtaineacht, ton cnis mheánach-gheal, éist
🧏🏽	bodhar, cluas, duine bodhar, duine bodhar: ton cnis meánach, duine dall, inrochtaineacht, ton cnis meánach, éist
🧏🏾	bodhar, cluas, duine bodhar, duine bodhar: ton cnis meándorcha, duine dall, inrochtaineacht, ton cnis meándorcha, éist
🧏🏿	bodhar, cluas, duine bodhar, duine bodhar: ton cnis dorcha, duine dall, inrochtaineacht, ton cnis dorcha, éist
🧏‍♂	bodhar, fear, fear bodhar
🧏🏻‍♂	bodhar, fear, fear bodhar: ton cnis geal, ton cnis geal
🧏🏼‍♂	bodhar, fear, fear bodhar: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧏🏽‍♂	bodhar, fear, fear bodhar: ton cnis meánach, ton cnis meánach
🧏🏾‍♂	bodhar, fear, fear bodhar: ton cnis meándorcha, ton cnis meándorcha
🧏🏿‍♂	bodhar, fear, fear bodhar: ton cnis dorcha, ton cnis dorcha
🧏‍♀	bean, bean bhodhar, bodhar
🧏🏻‍♀	bean, bean bhodhar, bean bhodhar: ton cnis geal, bodhar, ton cnis geal
🧏🏼‍♀	bean, bean bhodhar, bean bhodhar: ton cnis mheánach-gheal, bodhar, ton cnis mheánach-gheal
🧏🏽‍♀	bean, bean bhodhar, bean bhodhar: ton cnis meánach, bodhar, ton cnis meánach
🧏🏾‍♀	bean, bean bhodhar, bean bhodhar: ton cnis meándorcha, bodhar, ton cnis meándorcha
🧏🏿‍♀	bean, bean bhodhar, bean bhodhar: ton cnis dorcha, bodhar, ton cnis dorcha
🙇	aiféala, brón, crom síos, duine ag umhlú, gabh mo leithscéal, impigh, machnamh, maithiúnas, trua, tá brón orm, tá mé buartha
🙇🏻	aiféala, brón, crom síos, duine ag umhlú, duine ag umhlú: ton cnis geal, gabh mo leithscéal, impigh, machnamh, maithiúnas, ton cnis geal, trua, tá brón orm, tá mé buartha
🙇🏼	aiféala, brón, crom síos, duine ag umhlú, duine ag umhlú: ton cnis mheánach-gheal, gabh mo leithscéal, impigh, machnamh, maithiúnas, ton cnis mheánach-gheal, trua, tá brón orm, tá mé buartha
🙇🏽	aiféala, brón, crom síos, duine ag umhlú, duine ag umhlú: ton cnis meánach, gabh mo leithscéal, impigh, machnamh, maithiúnas, ton cnis meánach, trua, tá brón orm, tá mé buartha
🙇🏾	aiféala, brón, crom síos, duine ag umhlú, duine ag umhlú: ton cnis meándorcha, gabh mo leithscéal, impigh, machnamh, maithiúnas, ton cnis meándorcha, trua, tá brón orm, tá mé buartha
🙇🏿	aiféala, brón, crom síos, duine ag umhlú, duine ag umhlú: ton cnis dorcha, gabh mo leithscéal, impigh, machnamh, maithiúnas, ton cnis dorcha, trua, tá brón orm, tá mé buartha
🙇‍♂	fear, fear ag umhlú, gar, leithscéal, tá brón air, umhlaigh
🙇🏻‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis geal, gar, leithscéal, ton cnis geal, tá brón air, umhlaigh
🙇🏼‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis mheánach-gheal, gar, leithscéal, ton cnis mheánach-gheal, tá brón air, umhlaigh
🙇🏽‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis meánach, gar, leithscéal, ton cnis meánach, tá brón air, umhlaigh
🙇🏾‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis meándorcha, gar, leithscéal, ton cnis meándorcha, tá brón air, umhlaigh
🙇🏿‍♂	fear, fear ag umhlú, fear ag umhlú: ton cnis dorcha, gar, leithscéal, ton cnis dorcha, tá brón air, umhlaigh
🙇‍♀	bean, bean ag umhlú, brón, comhartha, leithscéal, tá brón uirthi, umhlaigh
🙇🏻‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis geal, brón, comhartha, leithscéal, ton cnis geal, tá brón uirthi, umhlaigh
🙇🏼‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis mheánach-gheal, brón, comhartha, leithscéal, ton cnis mheánach-gheal, tá brón uirthi, umhlaigh
🙇🏽‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis meánach, brón, comhartha, leithscéal, ton cnis meánach, tá brón uirthi, umhlaigh
🙇🏾‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis meándorcha, brón, comhartha, leithscéal, ton cnis meándorcha, tá brón uirthi, umhlaigh
🙇🏿‍♀	bean, bean ag umhlú, bean ag umhlú: ton cnis dorcha, brón, comhartha, leithscéal, ton cnis dorcha, tá brón uirthi, umhlaigh
🤦	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, gbdo, lámh, ní chreidim, stop, ó bhó go deo
🤦🏻	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis geal, gbdo, lámh, ní chreidim, stop, ton cnis geal, ó bhó go deo
🤦🏼	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis mheánach-gheal, gbdo, lámh, ní chreidim, stop, ton cnis mheánach-gheal, ó bhó go deo
🤦🏽	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis meánach, gbdo, lámh, ní chreidim, stop, ton cnis meánach, ó bhó go deo
